body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
0.421786,-0.461425,-0.745895
0.428046,-0.766415,-0.904992
0.437560,-1.375282,-1.225859
0.563895,-1.489240,-1.413842
0.627707,-1.546748,-1.507359
0.779901,-1.724881,-1.438656
0.722445,-1.759051,-1.384945
0.604928,-1.827085,-1.280463
0.394585,-1.831700,-1.329878
0.289933,-1.832779,-1.356706
-0.055981,-1.928424,-1.571045
-0.169227,-1.818033,-1.582958
-0.391800,-1.594269,-1.611729
-0.581775,-0.934333,-1.889707
-0.669273,-0.603623,-2.031707
-1.329920,-0.476364,-2.483668
-1.456091,-0.497329,-2.387970
-1.710972,-0.530654,-2.198316
-2.148085,-0.483526,-2.259849
-2.366395,-0.455832,-2.292771
-3.023895,-0.334328,-2.061113
-3.072108,-0.077628,-1.797691
-3.161616,0.453457,-1.288029
-2.799163,1.054414,-1.351537
-2.615203,1.351633,-1.393993
-1.582211,1.718778,-0.439001
-1.336300,1.788667,-0.237394
-0.837313,1.933050,0.155039
-0.739371,2.053950,0.451981
-0.687742,2.115978,0.599010
-0.765844,2.308442,1.092711
-0.734131,2.458950,1.196127
-0.669637,2.763545,1.399812
-1.035010,3.101601,1.578322
-1.217805,3.269630,1.671978
-1.606187,3.555241,1.650566
-1.842680,3.434086,1.838035
-2.300163,3.193940,2.235566
-2.990361,2.371754,2.413339
-3.324622,1.956943,2.523931
-2.920086,1.153028,2.508971
-3.227973,0.964085,2.857089
-3.830831,0.592659,3.575490
-3.738837,0.597334,3.598088
-3.695787,0.602197,3.611736
-2.974337,-0.202878,4.077322
-2.731189,-0.173490,3.931765
-2.249800,-0.103758,3.644048
-2.095029,0.211771,3.421156
-2.024321,0.369752,3.307932
-2.496344,2.626289,2.216761
-2.104930,2.584256,2.613982
-1.301893,2.540089,3.392277
-1.128171,2.393183,3.138300
-1.042691,2.322255,3.011718
-0.950068,2.584070,2.995342
-0.488970,2.706531,2.762882
0.413101,2.976540,2.274027
-0.037748,4.124910,2.979805
-0.265388,4.694422,3.343251
-0.612071,4.746453,3.591923
-0.998154,4.662112,3.859463
-1.740443,4.479974,4.440761
-2.184934,4.001302,5.441040
-2.376419,3.767153,5.961058
-2.715023,3.845859,6.897629
-2.918566,3.801425,7.653522
-3.277989,3.748411,9.226649
-3.467702,3.188118,9.191148
-3.547019,2.910326,9.213592
-2.247905,1.899049,7.815192
-1.971472,1.607908,7.288939
-1.398642,1.050014,6.257627
-1.244335,0.815772,5.509571
-1.165140,0.699309,5.142464
-1.164657,-0.062111,5.757026
-0.942577,-0.113411,5.065758
-0.492730,-0.206510,3.689477
-0.347937,-0.204165,3.304272
0.000000,0.000000,0.000000
0.275358,0.201337,-3.113022
